age,job,marital,education,id
29,services,single,high.school,72
36,blue-collar,married,basic.9y,73
35,management,married,high.school,74
33,admin.,married,high.school,75
33,admin.,married,high.school,76
27,blue-collar,single,basic.6y,77
42,technician,married,high.school,78
43,admin.,divorced,basic.9y,79
42,admin.,married,university.degree,80
27,blue-collar,single,basic.6y,81
34,self-employed,single,university.degree,82
31,student,single,university.degree,83
54,management,divorced,university.degree,84
40,self-employed,married,basic.4y,85
52,unemployed,married,high.school,86
47,management,divorced,university.degree,87
49,housemaid,married,basic.9y,88
32,admin.,single,high.school,89
49,housemaid,single,high.school,90
50,blue-collar,married,basic.9y,91
34,services,married,high.school,92
55,blue-collar,married,basic.4y,93
47,technician,single,basic.9y,94
51,retired,married,professional.course,95
47,blue-collar,married,basic.6y,96
56,technician,married,basic.4y,97
53,admin.,married,basic.9y,98
36,blue-collar,married,basic.9y,99
42,blue-collar,divorced,basic.9y,100
44,blue-collar,divorced,basic.6y,101
39,housemaid,married,basic.9y,102
37,admin.,single,high.school,103
60,blue-collar,married,unknown,104
36,services,married,high.school,105
42,management,divorced,university.degree,106
31,admin.,married,high.school,107
53,technician,divorced,professional.course,108
45,blue-collar,married,basic.4y,109
37,technician,single,professional.course,110
47,self-employed,married,professional.course,111
49,blue-collar,divorced,high.school,112
36,admin.,married,university.degree,113
35,services,divorced,high.school,114
38,unknown,married,unknown,115
38,services,single,high.school,116
50,blue-collar,divorced,high.school,117
59,retired,married,professional.course,118
43,unknown,married,unknown,119
42,admin.,married,high.school,120
40,admin.,married,basic.6y,121
46,blue-collar,married,unknown,122
57,housemaid,divorced,basic.4y,123
42,admin.,married,university.degree,124
41,blue-collar,married,basic.4y,125
54,management,divorced,university.degree,126
27,admin.,single,university.degree,127
36,admin.,married,high.school,128
58,blue-collar,married,professional.course,129
40,management,married,university.degree,130
34,admin.,single,basic.9y,131
33,admin.,divorced,high.school,132
56,retired,married,basic.6y,133
42,blue-collar,married,basic.9y,134
43,services,married,high.school,135
54,management,single,basic.9y,136
53,admin.,single,basic.6y,137
42,technician,single,unknown,138
40,services,married,basic.6y,139
54,technician,married,professional.course,140
40,housemaid,single,professional.course,141
26,admin.,single,university.degree,142
33,admin.,married,high.school,143
35,blue-collar,married,basic.9y,144
36,admin.,married,high.school,145
29,services,single,high.school,146
36,blue-collar,married,basic.9y,147
35,management,married,high.school,148
33,admin.,married,high.school,149
33,admin.,married,high.school,150
27,blue-collar,single,basic.6y,151
42,technician,married,high.school,152
43,admin.,divorced,basic.9y,153
42,admin.,married,university.degree,154
27,blue-collar,single,basic.6y,155
34,self-employed,single,university.degree,156
31,student,single,university.degree,157
54,management,divorced,university.degree,158
40,self-employed,married,basic.4y,159
52,unemployed,married,high.school,160
47,management,divorced,university.degree,161
49,housemaid,married,basic.9y,162
32,admin.,single,high.school,163
49,housemaid,single,high.school,164
50,blue-collar,married,basic.9y,165
34,services,married,high.school,166
55,blue-collar,married,basic.4y,167
47,technician,single,basic.9y,168
51,retired,married,professional.course,169
47,blue-collar,married,basic.6y,170
56,technician,married,basic.4y,171
53,admin.,married,basic.9y,172
36,blue-collar,married,basic.9y,173
42,blue-collar,divorced,basic.9y,174
44,blue-collar,divorced,basic.6y,175
39,housemaid,married,basic.9y,176
37,admin.,single,high.school,177
60,blue-collar,married,unknown,178
36,services,married,high.school,179
42,management,divorced,university.degree,180
31,admin.,married,high.school,181
53,technician,divorced,professional.course,182
45,blue-collar,married,basic.4y,183
37,technician,single,professional.course,184
47,self-employed,married,professional.course,185
49,blue-collar,divorced,high.school,186
36,admin.,married,university.degree,187
35,services,divorced,high.school,188
38,unknown,married,unknown,189
38,services,single,high.school,190
50,blue-collar,divorced,high.school,191
59,retired,married,professional.course,192
43,unknown,married,unknown,193
42,admin.,married,high.school,194
40,admin.,married,basic.6y,195
46,blue-collar,married,unknown,196
57,housemaid,divorced,basic.4y,197
42,admin.,married,university.degree,198
41,blue-collar,married,basic.4y,199
54,management,divorced,university.degree,200
27,admin.,single,university.degree,201
36,admin.,married,high.school,202
58,blue-collar,married,professional.course,203
40,management,married,university.degree,204
34,admin.,single,basic.9y,205
33,admin.,divorced,high.school,206
56,retired,married,basic.6y,207
42,blue-collar,married,basic.9y,208
43,services,married,high.school,209
54,management,single,basic.9y,210
53,admin.,single,basic.6y,211
42,technician,single,unknown,212
40,services,married,basic.6y,213
54,technician,married,professional.course,214
40,housemaid,single,professional.course,215
26,admin.,single,university.degree,216
33,admin.,married,high.school,217
35,blue-collar,married,basic.9y,218
36,admin.,married,high.school,219
29,services,single,high.school,220
36,blue-collar,married,basic.9y,221
35,management,married,high.school,222
33,admin.,married,high.school,223
33,admin.,married,high.school,224
27,blue-collar,single,basic.6y,225
42,technician,married,high.school,226
43,admin.,divorced,basic.9y,227
42,admin.,married,university.degree,228
27,blue-collar,single,basic.6y,229
34,self-employed,single,university.degree,230
31,student,single,university.degree,231
54,management,divorced,university.degree,232
40,self-employed,married,basic.4y,233
52,unemployed,married,high.school,234
47,management,divorced,university.degree,235
49,housemaid,married,basic.9y,236
32,admin.,single,high.school,237
49,housemaid,single,high.school,238
50,blue-collar,married,basic.9y,239
34,services,married,high.school,240
55,blue-collar,married,basic.4y,241
47,technician,single,basic.9y,242
51,retired,married,professional.course,243
47,blue-collar,married,basic.6y,244
56,technician,married,basic.4y,245
53,admin.,married,basic.9y,246
36,blue-collar,married,basic.9y,247
42,blue-collar,divorced,basic.9y,248
44,blue-collar,divorced,basic.6y,249
39,housemaid,married,basic.9y,250
37,admin.,single,high.school,251
60,blue-collar,married,unknown,252
36,services,married,high.school,253
42,management,divorced,university.degree,254
31,admin.,married,high.school,255
53,technician,divorced,professional.course,256
45,blue-collar,married,basic.4y,257
37,technician,single,professional.course,258
47,self-employed,married,professional.course,259
49,blue-collar,divorced,high.school,260
36,admin.,married,university.degree,261
35,services,divorced,high.school,262
38,unknown,married,unknown,263
38,services,single,high.school,264
50,blue-collar,divorced,high.school,265
59,retired,married,professional.course,266
43,unknown,married,unknown,267
42,admin.,married,high.school,268
40,admin.,married,basic.6y,269
46,blue-collar,married,unknown,270
57,housemaid,divorced,basic.4y,271
42,admin.,married,university.degree,272
41,blue-collar,married,basic.4y,273
54,management,divorced,university.degree,274
27,admin.,single,university.degree,275
36,admin.,married,high.school,276
58,blue-collar,married,professional.course,277
40,management,married,university.degree,278
34,admin.,single,basic.9y,279
33,admin.,divorced,high.school,280
56,retired,married,basic.6y,281
42,blue-collar,married,basic.9y,282
43,services,married,high.school,283
54,management,single,basic.9y,284
53,admin.,single,basic.6y,285
42,technician,single,unknown,286
40,services,married,basic.6y,287
54,technician,married,professional.course,288
40,housemaid,single,professional.course,289
26,admin.,single,university.degree,290
33,admin.,married,high.school,291
35,blue-collar,married,basic.9y,292
36,admin.,married,high.school,293
29,services,single,high.school,294
36,blue-collar,married,basic.9y,295
35,management,married,high.school,296
33,admin.,married,high.school,297
33,admin.,married,high.school,298
27,blue-collar,single,basic.6y,299
42,technician,married,high.school,300
43,admin.,divorced,basic.9y,301
42,admin.,married,university.degree,302
27,blue-collar,single,basic.6y,303
34,self-employed,single,university.degree,304
31,student,single,university.degree,305
54,management,divorced,university.degree,306
40,self-employed,married,basic.4y,307
52,unemployed,married,high.school,308
47,management,divorced,university.degree,309
49,housemaid,married,basic.9y,310
32,admin.,single,high.school,311
49,housemaid,single,high.school,312
50,blue-collar,married,basic.9y,313
34,services,married,high.school,314
55,blue-collar,married,basic.4y,315
47,technician,single,basic.9y,316
51,retired,married,professional.course,317
47,blue-collar,married,basic.6y,318
56,technician,married,basic.4y,319
53,admin.,married,basic.9y,320
36,blue-collar,married,basic.9y,321
42,blue-collar,divorced,basic.9y,322
44,blue-collar,divorced,basic.6y,323
39,housemaid,married,basic.9y,324
37,admin.,single,high.school,325
60,blue-collar,married,unknown,326
36,services,married,high.school,327
42,management,divorced,university.degree,328
31,admin.,married,high.school,329
53,technician,divorced,professional.course,330
45,blue-collar,married,basic.4y,331
37,technician,single,professional.course,332
47,self-employed,married,professional.course,333
49,blue-collar,divorced,high.school,334
36,admin.,married,university.degree,335
35,services,divorced,high.school,336
38,unknown,married,unknown,337
38,services,single,high.school,338
50,blue-collar,divorced,high.school,339
59,retired,married,professional.course,340
43,unknown,married,unknown,341
42,admin.,married,high.school,342
40,admin.,married,basic.6y,343
46,blue-collar,married,unknown,344
57,housemaid,divorced,basic.4y,345
42,admin.,married,university.degree,346
41,blue-collar,married,basic.4y,347
54,management,divorced,university.degree,348
27,admin.,single,university.degree,349
36,admin.,married,high.school,350
58,blue-collar,married,professional.course,351
40,management,married,university.degree,352
34,admin.,single,basic.9y,353
33,admin.,divorced,high.school,354
56,retired,married,basic.6y,355
42,blue-collar,married,basic.9y,356
43,services,married,high.school,357
54,management,single,basic.9y,358
53,admin.,single,basic.6y,359
42,technician,single,unknown,360
40,services,married,basic.6y,361
54,technician,married,professional.course,362
40,housemaid,single,professional.course,363
26,admin.,single,university.degree,364
33,admin.,married,high.school,365
35,blue-collar,married,basic.9y,366
36,admin.,married,high.school,367
29,services,single,high.school,368
36,blue-collar,married,basic.9y,369
35,management,married,high.school,370
33,admin.,married,high.school,371
33,admin.,married,high.school,372
27,blue-collar,single,basic.6y,373
42,technician,married,high.school,374
43,admin.,divorced,basic.9y,375
42,admin.,married,university.degree,376
27,blue-collar,single,basic.6y,377
34,self-employed,single,university.degree,378
31,student,single,university.degree,379
54,management,divorced,university.degree,380
40,self-employed,married,basic.4y,381
52,unemployed,married,high.school,382
47,management,divorced,university.degree,383
49,housemaid,married,basic.9y,384
32,admin.,single,high.school,385
49,housemaid,single,high.school,386
50,blue-collar,married,basic.9y,387
34,services,married,high.school,388
55,blue-collar,married,basic.4y,389
47,technician,single,basic.9y,390
51,retired,married,professional.course,391
47,blue-collar,married,basic.6y,392
56,technician,married,basic.4y,393
53,admin.,married,basic.9y,394
36,blue-collar,married,basic.9y,395
42,blue-collar,divorced,basic.9y,396
44,blue-collar,divorced,basic.6y,397
39,housemaid,married,basic.9y,398
37,admin.,single,high.school,399
60,blue-collar,married,unknown,400
36,services,married,high.school,401
42,management,divorced,university.degree,402
31,admin.,married,high.school,403
53,technician,divorced,professional.course,404
45,blue-collar,married,basic.4y,405
37,technician,single,professional.course,406
47,self-employed,married,professional.course,407
49,blue-collar,divorced,high.school,408
36,admin.,married,university.degree,409
35,services,divorced,high.school,410
38,unknown,married,unknown,411
38,services,single,high.school,412
50,blue-collar,divorced,high.school,413
59,retired,married,professional.course,414
43,unknown,married,unknown,415
42,admin.,married,high.school,416
40,admin.,married,basic.6y,417
46,blue-collar,married,unknown,418
57,housemaid,divorced,basic.4y,419
42,admin.,married,university.degree,420
41,blue-collar,married,basic.4y,421
54,management,divorced,university.degree,422
27,admin.,single,university.degree,423
36,admin.,married,high.school,424
58,blue-collar,married,professional.course,425
40,management,married,university.degree,426
34,admin.,single,basic.9y,427
33,admin.,divorced,high.school,428
56,retired,married,basic.6y,429
42,blue-collar,married,basic.9y,430
43,services,married,high.school,431
54,management,single,basic.9y,432
53,admin.,single,basic.6y,433
42,technician,single,unknown,434
40,services,married,basic.6y,435
54,technician,married,professional.course,436
40,housemaid,single,professional.course,437
26,admin.,single,university.degree,438
33,admin.,married,high.school,439
35,blue-collar,married,basic.9y,440
36,admin.,married,high.school,441
29,services,single,high.school,442
36,blue-collar,married,basic.9y,443
35,management,married,high.school,444
33,admin.,married,high.school,445
33,admin.,married,high.school,446
27,blue-collar,single,basic.6y,447
42,technician,married,high.school,448
43,admin.,divorced,basic.9y,449
42,admin.,married,university.degree,450
27,blue-collar,single,basic.6y,451
34,self-employed,single,university.degree,452
31,student,single,university.degree,453
54,management,divorced,university.degree,454
40,self-employed,married,basic.4y,455
52,unemployed,married,high.school,456
47,management,divorced,university.degree,457
49,housemaid,married,basic.9y,458
32,admin.,single,high.school,459
49,housemaid,single,high.school,460
50,blue-collar,married,basic.9y,461
34,services,married,high.school,462
55,blue-collar,married,basic.4y,463
47,technician,single,basic.9y,464
51,retired,married,professional.course,465
47,blue-collar,married,basic.6y,466
56,technician,married,basic.4y,467
53,admin.,married,basic.9y,468
36,blue-collar,married,basic.9y,469
42,blue-collar,divorced,basic.9y,470
44,blue-collar,divorced,basic.6y,471
39,housemaid,married,basic.9y,472
37,admin.,single,high.school,473
60,blue-collar,married,unknown,474
36,services,married,high.school,475
42,management,divorced,university.degree,476
31,admin.,married,high.school,477
53,technician,divorced,professional.course,478
45,blue-collar,married,basic.4y,479
37,technician,single,professional.course,480
47,self-employed,married,professional.course,481
49,blue-collar,divorced,high.school,482
36,admin.,married,university.degree,483
35,services,divorced,high.school,484
38,unknown,married,unknown,485
38,services,single,high.school,486
50,blue-collar,divorced,high.school,487
59,retired,married,professional.course,488
43,unknown,married,unknown,489
42,admin.,married,high.school,490
40,admin.,married,basic.6y,491
46,blue-collar,married,unknown,492
57,housemaid,divorced,basic.4y,493
42,admin.,married,university.degree,494
41,blue-collar,married,basic.4y,495
54,management,divorced,university.degree,496
27,admin.,single,university.degree,497
36,admin.,married,high.school,498
58,blue-collar,married,professional.course,499
40,management,married,university.degree,500
34,admin.,single,basic.9y,501
33,admin.,divorced,high.school,502
56,retired,married,basic.6y,503
42,blue-collar,married,basic.9y,504
43,services,married,high.school,505
54,management,single,basic.9y,506
53,admin.,single,basic.6y,507
42,technician,single,unknown,508
40,services,married,basic.6y,509
54,technician,married,professional.course,510
40,housemaid,single,professional.course,511
26,admin.,single,university.degree,512
33,admin.,married,high.school,513
35,blue-collar,married,basic.9y,514
36,admin.,married,high.school,515
29,services,single,high.school,516
36,blue-collar,married,basic.9y,517
35,management,married,high.school,518
33,admin.,married,high.school,519
33,admin.,married,high.school,520
27,blue-collar,single,basic.6y,521
42,technician,married,high.school,522
43,admin.,divorced,basic.9y,523
42,admin.,married,university.degree,524
27,blue-collar,single,basic.6y,525
34,self-employed,single,university.degree,526
31,student,single,university.degree,527
54,management,divorced,university.degree,528
40,self-employed,married,basic.4y,529
52,unemployed,married,high.school,530
47,management,divorced,university.degree,531
49,housemaid,married,basic.9y,532
32,admin.,single,high.school,533
49,housemaid,single,high.school,534
50,blue-collar,married,basic.9y,535
34,services,married,high.school,536
55,blue-collar,married,basic.4y,537
47,technician,single,basic.9y,538
51,retired,married,professional.course,539
47,blue-collar,married,basic.6y,540
56,technician,married,basic.4y,541
53,admin.,married,basic.9y,542
36,blue-collar,married,basic.9y,543
42,blue-collar,divorced,basic.9y,544
44,blue-collar,divorced,basic.6y,545
39,housemaid,married,basic.9y,546
37,admin.,single,high.school,547
60,blue-collar,married,unknown,548
36,services,married,high.school,549
42,management,divorced,university.degree,550
31,admin.,married,high.school,551
53,technician,divorced,professional.course,552
45,blue-collar,married,basic.4y,553
37,technician,single,professional.course,554
47,self-employed,married,professional.course,555
49,blue-collar,divorced,high.school,556
36,admin.,married,university.degree,557
35,services,divorced,high.school,558
38,unknown,married,unknown,559
38,services,single,high.school,560
50,blue-collar,divorced,high.school,561
59,retired,married,professional.course,562
43,unknown,married,unknown,563
42,admin.,married,high.school,564
40,admin.,married,basic.6y,565
46,blue-collar,married,unknown,566
57,housemaid,divorced,basic.4y,567
42,admin.,married,university.degree,568
41,blue-collar,married,basic.4y,569
54,management,divorced,university.degree,570
27,admin.,single,university.degree,571
36,admin.,married,high.school,572
58,blue-collar,married,professional.course,573
40,management,married,university.degree,574
34,admin.,single,basic.9y,575
33,admin.,divorced,high.school,576
56,retired,married,basic.6y,577
42,blue-collar,married,basic.9y,578
43,services,married,high.school,579
54,management,single,basic.9y,580
53,admin.,single,basic.6y,581
42,technician,single,unknown,582
40,services,married,basic.6y,583
54,technician,married,professional.course,584
40,housemaid,single,professional.course,585
26,admin.,single,university.degree,586
33,admin.,married,high.school,587
35,blue-collar,married,basic.9y,588
36,admin.,married,high.school,589
29,services,single,high.school,590
36,blue-collar,married,basic.9y,591
35,management,married,high.school,592
33,admin.,married,high.school,593
33,admin.,married,high.school,594
27,blue-collar,single,basic.6y,595
42,technician,married,high.school,596
43,admin.,divorced,basic.9y,597
42,admin.,married,university.degree,598
27,blue-collar,single,basic.6y,599
34,self-employed,single,university.degree,600
31,student,single,university.degree,601
54,management,divorced,university.degree,602
40,self-employed,married,basic.4y,603
52,unemployed,married,high.school,604
47,management,divorced,university.degree,605
49,housemaid,married,basic.9y,606
32,admin.,single,high.school,607
49,housemaid,single,high.school,608
50,blue-collar,married,basic.9y,609
34,services,married,high.school,610
55,blue-collar,married,basic.4y,611
47,technician,single,basic.9y,612
51,retired,married,professional.course,613
47,blue-collar,married,basic.6y,614
56,technician,married,basic.4y,615
53,admin.,married,basic.9y,616
36,blue-collar,married,basic.9y,617
42,blue-collar,divorced,basic.9y,618
44,blue-collar,divorced,basic.6y,619
39,housemaid,married,basic.9y,620
37,admin.,single,high.school,621
60,blue-collar,married,unknown,622
36,services,married,high.school,623
42,management,divorced,university.degree,624
31,admin.,married,high.school,625
53,technician,divorced,professional.course,626
45,blue-collar,married,basic.4y,627
37,technician,single,professional.course,628
47,self-employed,married,professional.course,629
49,blue-collar,divorced,high.school,630
36,admin.,married,university.degree,631
35,services,divorced,high.school,632
38,unknown,married,unknown,633
38,services,single,high.school,634
50,blue-collar,divorced,high.school,635
59,retired,married,professional.course,636
43,unknown,married,unknown,637
42,admin.,married,high.school,638
40,admin.,married,basic.6y,639
46,blue-collar,married,unknown,640
57,housemaid,divorced,basic.4y,641
42,admin.,married,university.degree,642
41,blue-collar,married,basic.4y,643
54,management,divorced,university.degree,644
27,admin.,single,university.degree,645
36,admin.,married,high.school,646
58,blue-collar,married,professional.course,647
40,management,married,university.degree,648
34,admin.,single,basic.9y,649
33,admin.,divorced,high.school,650
56,retired,married,basic.6y,651
42,blue-collar,married,basic.9y,652
43,services,married,high.school,653
54,management,single,basic.9y,654
53,admin.,single,basic.6y,655
42,technician,single,unknown,656
40,services,married,basic.6y,657
54,technician,married,professional.course,658
40,housemaid,single,professional.course,659
26,admin.,single,university.degree,660
33,admin.,married,high.school,661
35,blue-collar,married,basic.9y,662
36,admin.,married,high.school,663
29,services,single,high.school,664
36,blue-collar,married,basic.9y,665
35,management,married,high.school,666
33,admin.,married,high.school,667
33,admin.,married,high.school,668
27,blue-collar,single,basic.6y,669
42,technician,married,high.school,670
43,admin.,divorced,basic.9y,671
42,admin.,married,university.degree,672
27,blue-collar,single,basic.6y,673
34,self-employed,single,university.degree,674
31,student,single,university.degree,675
54,management,divorced,university.degree,676
40,self-employed,married,basic.4y,677
52,unemployed,married,high.school,678
47,management,divorced,university.degree,679
49,housemaid,married,basic.9y,680
32,admin.,single,high.school,681
49,housemaid,single,high.school,682
50,blue-collar,married,basic.9y,683
34,services,married,high.school,684
55,blue-collar,married,basic.4y,685
47,technician,single,basic.9y,686
51,retired,married,professional.course,687
47,blue-collar,married,basic.6y,688
56,technician,married,basic.4y,689
53,admin.,married,basic.9y,690
36,blue-collar,married,basic.9y,691
42,blue-collar,divorced,basic.9y,692
44,blue-collar,divorced,basic.6y,693
39,housemaid,married,basic.9y,694
37,admin.,single,high.school,695
60,blue-collar,married,unknown,696
36,services,married,high.school,697
42,management,divorced,university.degree,698
31,admin.,married,high.school,699
53,technician,divorced,professional.course,700
45,blue-collar,married,basic.4y,701
37,technician,single,professional.course,702
47,self-employed,married,professional.course,703
49,blue-collar,divorced,high.school,704
36,admin.,married,university.degree,705
35,services,divorced,high.school,706
38,unknown,married,unknown,707
38,services,single,high.school,708
50,blue-collar,divorced,high.school,709
59,retired,married,professional.course,710
43,unknown,married,unknown,711
42,admin.,married,high.school,712
40,admin.,married,basic.6y,713
46,blue-collar,married,unknown,714
57,housemaid,divorced,basic.4y,715
42,admin.,married,university.degree,716
41,blue-collar,married,basic.4y,717
54,management,divorced,university.degree,718
27,admin.,single,university.degree,719
36,admin.,married,high.school,720
58,blue-collar,married,professional.course,721
40,management,married,university.degree,722
34,admin.,single,basic.9y,723
33,admin.,divorced,high.school,724
56,retired,married,basic.6y,725
42,blue-collar,married,basic.9y,726
43,services,married,high.school,727
54,management,single,basic.9y,728
53,admin.,single,basic.6y,729
42,technician,single,unknown,730
40,services,married,basic.6y,731
54,technician,married,professional.course,732
40,housemaid,single,professional.course,733
26,admin.,single,university.degree,734
33,admin.,married,high.school,735
35,blue-collar,married,basic.9y,736
36,admin.,married,high.school,737
29,services,single,high.school,738
36,blue-collar,married,basic.9y,739
35,management,married,high.school,740
33,admin.,married,high.school,741
33,admin.,married,high.school,742
27,blue-collar,single,basic.6y,743
42,technician,married,high.school,744
43,admin.,divorced,basic.9y,745
42,admin.,married,university.degree,746
27,blue-collar,single,basic.6y,747
34,self-employed,single,university.degree,748
31,student,single,university.degree,749
54,management,divorced,university.degree,750
40,self-employed,married,basic.4y,751
52,unemployed,married,high.school,752
47,management,divorced,university.degree,753
49,housemaid,married,basic.9y,754
32,admin.,single,high.school,755
49,housemaid,single,high.school,756
50,blue-collar,married,basic.9y,757
34,services,married,high.school,758
55,blue-collar,married,basic.4y,759
47,technician,single,basic.9y,760
51,retired,married,professional.course,761
47,blue-collar,married,basic.6y,762
56,technician,married,basic.4y,763
53,admin.,married,basic.9y,764
36,blue-collar,married,basic.9y,765
42,blue-collar,divorced,basic.9y,766
44,blue-collar,divorced,basic.6y,767
39,housemaid,married,basic.9y,768
37,admin.,single,high.school,769
60,blue-collar,married,unknown,770
36,services,married,high.school,771
42,management,divorced,university.degree,772
31,admin.,married,high.school,773
53,technician,divorced,professional.course,774
45,blue-collar,married,basic.4y,775
37,technician,single,professional.course,776
47,self-employed,married,professional.course,777
49,blue-collar,divorced,high.school,778
36,admin.,married,university.degree,779
35,services,divorced,high.school,780
38,unknown,married,unknown,781
38,services,single,high.school,782
50,blue-collar,divorced,high.school,783
59,retired,married,professional.course,784
43,unknown,married,unknown,785
42,admin.,married,high.school,786
40,admin.,married,basic.6y,787
46,blue-collar,married,unknown,788
57,housemaid,divorced,basic.4y,789
42,admin.,married,university.degree,790
41,blue-collar,married,basic.4y,791
54,management,divorced,university.degree,792
27,admin.,single,university.degree,793
36,admin.,married,high.school,794
58,blue-collar,married,professional.course,795
40,management,married,university.degree,796
34,admin.,single,basic.9y,797
33,admin.,divorced,high.school,798
56,retired,married,basic.6y,799
42,blue-collar,married,basic.9y,800
43,services,married,high.school,801
54,management,single,basic.9y,802
53,admin.,single,basic.6y,803
42,technician,single,unknown,804
40,services,married,basic.6y,805
54,technician,married,professional.course,806
40,housemaid,single,professional.course,807
26,admin.,single,university.degree,808
33,admin.,married,high.school,809
35,blue-collar,married,basic.9y,810
36,admin.,married,high.school,811
29,services,single,high.school,812
36,blue-collar,married,basic.9y,813
35,management,married,high.school,814
33,admin.,married,high.school,815
33,admin.,married,high.school,816
27,blue-collar,single,basic.6y,817
42,technician,married,high.school,818
43,admin.,divorced,basic.9y,819
42,admin.,married,university.degree,820
27,blue-collar,single,basic.6y,821
34,self-employed,single,university.degree,822
31,student,single,university.degree,823
54,management,divorced,university.degree,824
40,self-employed,married,basic.4y,825
52,unemployed,married,high.school,826
47,management,divorced,university.degree,827
49,housemaid,married,basic.9y,828
32,admin.,single,high.school,829
49,housemaid,single,high.school,830
50,blue-collar,married,basic.9y,831
34,services,married,high.school,832
55,blue-collar,married,basic.4y,833
47,technician,single,basic.9y,834
51,retired,married,professional.course,835
47,blue-collar,married,basic.6y,836
56,technician,married,basic.4y,837
53,admin.,married,basic.9y,838
36,blue-collar,married,basic.9y,839
42,blue-collar,divorced,basic.9y,840
44,blue-collar,divorced,basic.6y,841
39,housemaid,married,basic.9y,842
37,admin.,single,high.school,843
60,blue-collar,married,unknown,844
36,services,married,high.school,845
42,management,divorced,university.degree,846
31,admin.,married,high.school,847
53,technician,divorced,professional.course,848
45,blue-collar,married,basic.4y,849
37,technician,single,professional.course,850
47,self-employed,married,professional.course,851
49,blue-collar,divorced,high.school,852
36,admin.,married,university.degree,853
35,services,divorced,high.school,854
38,unknown,married,unknown,855
38,services,single,high.school,856
50,blue-collar,divorced,high.school,857
59,retired,married,professional.course,858
43,unknown,married,unknown,859
42,admin.,married,high.school,860
40,admin.,married,basic.6y,861
46,blue-collar,married,unknown,862
57,housemaid,divorced,basic.4y,863
42,admin.,married,university.degree,864
41,blue-collar,married,basic.4y,865
54,management,divorced,university.degree,866
27,admin.,single,university.degree,867
36,admin.,married,high.school,868
58,blue-collar,married,professional.course,869
40,management,married,university.degree,870
34,admin.,single,basic.9y,871
33,admin.,divorced,high.school,872
56,retired,married,basic.6y,873
42,blue-collar,married,basic.9y,874
43,services,married,high.school,875
54,management,single,basic.9y,876
53,admin.,single,basic.6y,877
42,technician,single,unknown,878
40,services,married,basic.6y,879
54,technician,married,professional.course,880
40,housemaid,single,professional.course,881
26,admin.,single,university.degree,882
33,admin.,married,high.school,883
35,blue-collar,married,basic.9y,884
36,admin.,married,high.school,885
29,services,single,high.school,886
36,blue-collar,married,basic.9y,887
35,management,married,high.school,888
33,admin.,married,high.school,889
33,admin.,married,high.school,890
27,blue-collar,single,basic.6y,891
42,technician,married,high.school,892
43,admin.,divorced,basic.9y,893
42,admin.,married,university.degree,894
27,blue-collar,single,basic.6y,895
34,self-employed,single,university.degree,896
31,student,single,university.degree,897
54,management,divorced,university.degree,898
40,self-employed,married,basic.4y,899
52,unemployed,married,high.school,900
47,management,divorced,university.degree,901
49,housemaid,married,basic.9y,902
32,admin.,single,high.school,903
49,housemaid,single,high.school,904
50,blue-collar,married,basic.9y,905
34,services,married,high.school,906
